epoch,loss,output_10m_loss,output_10m_mae,output_15m_loss,output_15m_mae,output_5m_loss,output_5m_mae,val_loss,val_output_10m_loss,val_output_10m_mae,val_output_15m_loss,val_output_15m_mae,val_output_5m_loss,val_output_5m_mae
0,1585.8131103515625,507.7762451171875,11.289995193481445,543.8330688476562,11.704435348510742,534.0009155273438,11.641984939575195,34.60768508911133,11.594071388244629,2.0862724781036377,11.467581748962402,2.085007429122925,11.530719757080078,2.0917258262634277
1,61.40744400024414,20.448572158813477,3.2289090156555176,20.527318954467773,3.2303950786590576,20.429269790649414,3.2266111373901367,35.850257873535156,11.896039962768555,2.091031074523926,11.940898895263672,2.08485746383667,12.000101089477539,2.086113691329956
2,60.887203216552734,20.258344650268555,3.1899898052215576,20.36031723022461,3.197002649307251,20.26566505432129,3.190068483352661,33.26193618774414,11.036528587341309,2.1105434894561768,11.087386131286621,2.105926275253296,11.121441841125488,2.108922004699707
3,60.16305160522461,20.025625228881836,3.152918815612793,20.09967041015625,3.1596972942352295,20.033201217651367,3.153195381164551,31.553321838378906,10.49513053894043,2.1948020458221436,10.498994827270508,2.1973838806152344,10.537421226501465,2.189617872238159
4,57.95477294921875,19.31208610534668,3.083641290664673,19.329086303710938,3.0851497650146484,19.310626983642578,3.083582878112793,31.37114715576172,10.44707202911377,2.1924660205841064,10.437272071838379,2.191718101501465,10.465373039245605,2.1890649795532227
5,56.607879638671875,18.84061050415039,3.0487256050109863,18.917842864990234,3.0551536083221436,18.845996856689453,3.0490121841430664,30.367319107055664,10.121103286743164,2.1521968841552734,10.094244003295898,2.1454546451568604,10.130562782287598,2.150350332260132
6,55.4418830871582,18.479022979736328,3.0175702571868896,18.509965896606445,3.0202548503875732,18.449954986572266,3.0156514644622803,31.263839721679688,10.399115562438965,2.2016634941101074,10.40664005279541,2.1997084617614746,10.435166358947754,2.204866647720337
7,54.80840301513672,18.27509117126465,3.0003323554992676,18.28081703186035,3.001117706298828,18.250211715698242,2.998533010482788,31.25603485107422,10.3843994140625,2.1993300914764404,10.412840843200684,2.2045304775238037,10.436847686767578,2.2064859867095947
8,54.1236686706543,18.04999542236328,2.9833970069885254,18.047706604003906,2.9832470417022705,18.023637771606445,2.9810338020324707,30.71932601928711,10.232529640197754,2.207115650177002,10.19805908203125,2.2032225131988525,10.266668319702148,2.2110490798950195
9,52.64530944824219,17.547739028930664,2.9391191005706787,17.549650192260742,2.9387094974517822,17.546485900878906,2.938333034515381,30.637535095214844,10.223877906799316,2.190944194793701,10.168856620788574,2.1818652153015137,10.223166465759277,2.185910701751709
10,52.15378189086914,17.380189895629883,2.9289345741271973,17.399187088012695,2.9298274517059326,17.373218536376953,2.928556203842163,30.757335662841797,10.239733695983887,2.227487802505493,10.240069389343262,2.2273237705230713,10.254612922668457,2.2290596961975098
