eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters
0.1,3,-0.46039719129910783,223.41191045660867,1.262548694607235,127
0.1,5,-0.5179797183116409,309.7743435061791,1.1861120356059822,89
0.1,10,-0.21121780944766225,818.4822354125258,1.3299014905094058,32
0.2,3,0.016176772562792915,787.750440161957,1.8795832996436028,11
0.2,5,-0.05855491119931001,767.5399249657657,1.839025254301337,12
0.2,10,0.10853466849879485,878.545593551524,1.2562774617906958,12
0.30000000000000004,3,-0.06379052809957006,974.049101618299,1.8050024274253644,9
0.30000000000000004,5,0.05874649993507438,1112.2280304821395,2.081380960731997,8
0.30000000000000004,10,0.17897552120954882,2584.1166126609182,1.9095307421483705,4
0.4,3,-0.007017033201057346,1298.0434776096508,1.4800141289237256,7
0.4,5,0.10748713246523048,1556.0713276350536,1.7057738717648976,6
0.4,10,0.12003642507637668,1942.7166168739564,1.3649240407908938,5
0.5,3,0.10455159968507662,1917.5287179909426,1.598987681980644,5
0.5,5,0.10965411017075241,1557.543668855483,1.607693376859971,6
0.5,10,0.11002668991033145,1556.8393751245842,1.3353366216298899,6
0.6,3,0.10455159968507662,1917.5287179909426,1.598987681980644,5
0.6,5,0.10455159968507662,1917.5287179909426,1.598987681980644,5
0.6,10,0.10486949893057351,1917.4974307185007,1.6820658079693067,5
0.7000000000000001,3,0.2039999252248329,3800.159833737714,1.183491131526826,3
0.7000000000000001,5,0.19051680377092012,2549.255942383885,1.4487977045539604,4
0.7000000000000001,10,0.10432260825449657,1917.2414186656056,1.3674872149203627,5
0.8,3,0.2374408034047059,3797.929252408673,1.0246946449378127,3
0.8,5,0.2374408034047059,3797.929252408673,1.0246946449378127,3
0.8,10,0.20316774081565278,2547.7599722291984,0.9531690889598154,4
