k,silhouette,calinski_harabasz,davies_bouldin
2,0.2828570093454405,4277.926633113304,1.6751891230994385
3,0.26899192596325294,4684.652035977081,1.4225400477793693
4,0.27404641507815686,5259.890925857838,1.0452413485295287
5,0.3930956480134731,10723.027604220844,0.8604822787547384
6,0.3641416547566313,8897.449633956317,0.9985958958487124
7,0.35877735198638633,8397.962919191106,0.9357153244302209
8,0.35702350391067894,7248.458477537168,0.8684256833615938
9,0.3745355248714735,9300.1332717448,0.8605532096849089
10,0.371350416892573,8336.723017655026,0.8655907978517469
