k,silhouette,calinski_harabasz,davies_bouldin
2,0.3398673614538387,9319.031557515767,1.2931315445281917
3,0.39764977440909044,12786.14842993034,1.004846431269342
4,0.4080882790521546,13319.872468607995,0.892993483761477
5,0.4090769318501669,14262.745605145688,0.8275676528347752
6,0.42517595799492475,15334.554340149838,0.8330306803802443
7,0.4218913880613647,15839.061858601897,0.8471723483394417
8,0.42978313746671537,15815.064380044312,0.8445989180483195
9,0.42609535308067403,15486.265155499688,0.8776591993588634
10,0.4211698682439119,15445.923099633286,0.866265142459617
