"VesselName","nb_points","duree_tracking","distance_totale","vitesse_moyenne","type_bateau"
"TAYLOR DANOS",1806,160.003611111111,3.2012619830565,0.110132890365449,60
"AMERICAN MELODY",1802,NA,4.73717822501387,3.15993340732519,60
"NAVIGATOR ATLAS",1800,167.95,0.0420249461212867,0.0308333333333333,80
"ALANYA-M",1786,167.935833333333,0.0516657036821427,0,70
"STOLT LOTUS",1766,167.7975,20.9478401925446,7.60101925254813,80
"LONESTAR STATE",1758,167.989722222222,20.4178426463937,6.72701934015927,80
"CLIPPER MEDWAY",1751,156.306944444444,12.6984524671431,6.10542547115934,70
"GRAND ACE5",1735,164.736388888889,17.9215304487351,6.89682997118156,80
"HAGEN",1722,163.529722222222,5.83299900221592,4.67787456445993,70
"HAMBURG STAR",1711,167.946388888889,0.669407352063703,0.00309760374050263,80
"FAIRLANE",1686,167.950277777778,0.0771522832044507,0.0680308422301305,70
"SLINGSHOT",1655,167.902222222222,0.0343847095119048,0.000785498489425982,70
"CANDY DANCER",1640,167.975555555556,7.67327831404459,5.98591463414634,60
"AQUILA",1614,167.88,19.8181670142664,4.49838909541512,70
"EAGLE KLANG",1606,167.943055555556,2.42434150161263,3.16313823163138,80
"MILLIE",1604,167.108055555556,0.471024815749924,0.555610972568579,79
"STOLT SPAN",1587,152.676944444444,4.06672024608105,1.77340894770006,80
"ORIENTAL JUBILEE",1512,167.983333333333,18.8487554063975,5.35257936507937,80
"RED STAG",1501,148.272222222222,7.216885434282,5.40532978014657,70
"COBIA LNG",1492,NA,33.9456548226097,6.9823726541555,84
"NAVE PULSAR",1381,165.274722222222,15.891422277205,4.9762490948588,80
"K-BREEZE",1380,167.168611111111,6.87801029982857,1.58746376811594,70
"MSC MUNDRA VIII",1328,167.811388888889,19.5397193931653,7.91204819277108,71
"CHEM SEA 1",1191,167.998333333333,18.014475919655,2.8247691015953,80
"FAST SERVER",1175,167.888333333333,0.149892523938929,0.226127659574468,60
"CELSIUS PORTSMOUTH",1149,154.822222222222,22.0240423743889,6.84325500435161,80
"LUCHOW",1120,167.855277777778,19.0331900575699,2.88910714285714,70
"SONNY",979,147.256944444444,0.446932479100629,1.31838610827375,60
"FRANK H",873,164.808055555556,1.76299753941239,3.93927955523123,60
"MUSTANG",680,167.976388888889,1.18022837768751,4.73764705882353,69
